"Qty";"Value";"Device";"Package";"Parts";"Description";"CENTROID_NOT_SPECIFIED";"CONTINUOUS_DRAIN_CURRENT";"DATASHEET";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"DRAIN_TO_SOURCE_BREAKDOWN_VOLTAGE";"DRAIN_TO_SOURCE_RESISTANCE";"DRAIN_TO_SOURCE_VOLTAGE";"GATE_TO_SOURCE_VOLTAGE";"HEIGHT";"INPUT_CAPACITACE_AT_VDS";"LEAD_FREE";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_JUNCTION_TEMP";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"NUMBER_OF_CHANNELS";"NUMBER_OF_N_CHANNELS";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"POWER_DISSIPATION";"PREFIX";"ROHS";"SPICEPREFIX";"STANDOFF_HEIGHT";"TECHNOLOGY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"THRESHOLD_VGS";"TURN_OFF_DELAY_TIME";"TURN_ON_DELAY_TIME";"VERIFICATION_VERSION";
"8";"";"LEDSML0603";"SML0603";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"NME";"NME";"TME1205S";"DC-DC CONVERTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C & D TECHNOLOGIES, INC";"";"";"";"";"";"";"NME1205D";"";"";"1021466";"98B8198";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0.1μF";"C-EUC0603";"C0603";"C2, C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"C";"";"";"";"";"";"";"";"";
"1";"0.22uF";"C-EUC0603";"C0603";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"C";"";"";"";"";"";"";"";"";
"2";"0.22μF";"C-EUC0603";"C0603";"C1, C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"C";"";"";"";"";"";"";"";"";
"7";"100k";"R-US_R0603";"R0603";"R2, R3, R8, R11, R12, R13, R14";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";"";"";"";
"7";"10k";"R-US_R0603";"R0603";"R1, R4, R5, R6, R7, R9, R10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";"";"";"";
"2";"1k";"R-US_R0603";"R0603";"RCOMH, RCOML";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";"";"";"";
"4";"2.2nf";"C-EUC0603";"C0603";"CCOMHN, CCOMHP, CCOMLN, CCOMLP";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"C";"";"";"";"";"";"";"";"";
"4";"220 pF";"C-EUC0603";"C0603";"CCOMHNG, CCOMHPG, CCOMLNG, CCOMLPG";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"C";"";"";"";"";"";"";"";"";
"4";"49";"R-US_R0603";"R0603";"RCOMHN, RCOMHP, RCOMLN, RCOMLP";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";"";"";"";
"4";"50";"R-US_R0603";"R0603";"R15, R16, R17, R18";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";"";"";"";
"1";"5566-12";"5566-12";"5566-12";"X1";"Mini FIT connector 12 pol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MOLEX";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"5566-2";"5566-2";"5566-2";"COMH, COML, CONTACTOR_N, CONTACTOR_P, CONTACTOR_PRECHARGE, COOLANT-1, PWR_IN";"Mini FIT connector 2 pol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MOLEX";"";"";"";"";"";"";"";"";"";"1822072";"unknown";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"5566-4";"5566-4";"5566-4";"CAN1";"Mini FIT connector 4 pol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MOLEX";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BQ79600PWRQ1";"BQ79600PWRQ1";"SOP65P640X120-16N";"IC1";"Battery Management Automotive SPI/UART communication interface functional-safety compliant with automatic host wakeup";"";"";"";"Battery Management Automotive SPI/UART communication interface functional-safety compliant with automatic host wakeup";"";"";"";"";"";"";"";"";"";"1.2mm";"";"";"Texas Instruments";"BQ79600PWRQ1";"";"";"";"";"";"";"595-BQ79600PWRQ1";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/BQ79600PWRQ1?qs=bAKSY%2FctAC74v4PXQeVHrA%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"ESDAVLC6-2BLY";"ESDAVLC6-2BLY";"SOT95P255X150-3N";"ESDCOMH, ESDCOML";"STMICROELECTRONICS - ESDAVLC6-2BLY - ESD Protection Device, 17 V, SOT-23, 3 Pins, 5 V, 140 W, ESDA Transil Series";"";"";"";"STMICROELECTRONICS - ESDAVLC6-2BLY - ESD Protection Device, 17 V, SOT-23, 3 Pins, 5 V, 140 W, ESDA Transil Series";"";"";"";"";"";"";"";"";"";"1.5mm";"";"";"STMicroelectronics";"ESDAVLC6-2BLY";"";"";"";"";"";"";"511-ESDAVLC6-2BLY";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/ESDAVLC6-2BLY?qs=l7cgNqFNU1iH2e21evvYsA%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ESP32DEVKITV1";"ESP32DEVKITV1";"ESP32-DEVKITV1";"U$2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TEENSY41";"TEENSY41";"TEENSY41";"U$3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"VISHAY_SIS862DN-T1-GE3VISHAY_SIS862DN-T1-GE3_0_0";"VISHAY_SIS862DN-T1-GE3VISHAY_SIS862DN-T1-GE3_0_0";"VISHAY_SIS862DN-T1-GE3_0";"Q5, Q6, Q7, Q8";"MOSFET Transistor, N Channel, 40 A, 60 V, 0.007 ohm, 10 V";"No";"40A";"http://www.vishay.com/docs/63346/sis862dn.pdf";"";"Discrete Semiconductors";"Transistors";"MOSFETs";"TRANS MOSFET N-CH 60V 40A 1212";"SIS862DN-T1-GE3CT-ND";"60V";"0.007Ω";"60V";"20V";"1.12mm";"1320pF @ 30V";"yes";"";"";"+150°C";"Vishay";"S16-2667";"01/2017";"M";"N-Channel 60 V 8.5 mOhm 52 W TrenchFET Power Mosfet - PowerPAK 1212-8";"78-SIS862DN-T1-GE3";"";"SIS862DN-T1-GE3";"1";"1";"";"";"PowerPAK1212-8";"";"52W";"Q";"yes";"";"0mm";"MOSFET";"+150°C";"-55°C";"2.6V";"15ns";"23ns";"0.0.0.1";
